day,date,datetime,month,month_name,original_cost,optimized_cost,savings,savings_pct,solar_to_battery,grid_to_battery,battery_to_home,initial_soc,final_soc,min_price,max_price,price_spread,daily_cycles,total_cycles,capacity_factor,effective_capacity,solar_actual_total,solar_estimated_total,solar_estimation_error,solar_estimation_error_pct,solar_estimation_rmse
1,2024-01-01,2024-01-01 13:00:00,1,January,230.22916431543752,224.86303594563557,5.366128369801942,2.3307769829063867,0.0,27.63999997894737,23.632199980999996,0.0,1.3820000000000006,1.1315982937500002,1.8208069625,0.6892086687499999,1.7099999986251806,1.7099999986251806,1.0,13.82,0.0,0.0,0.0,0.0,0.0
2,2024-01-02,2024-01-02 13:00:00,1,January,182.3190513535,155.07139907353078,27.247652279969202,14.945038424502602,0.0,13.09151215894827,23.63130195294991,13.82,1.3818818636851606,1.1909956937500001,1.84569844375,0.6547027499999998,1.7099350183031774,3.419935016928358,0.9999145000000688,13.818818390000951,0.0,0.0,0.0,0.0,0.0
3,2024-01-03,2024-01-03 13:00:00,1,January,234.412177822875,201.65902702454417,32.753150798330836,13.972461287006837,-4.7385351764482243e-11,13.09039278148734,23.629281457384646,13.818818390000951,1.3817636824903303,1.4347635,2.70838228125,1.27361878125,1.7097888174663274,5.129723834394685,0.9998290032491536,13.817636824903303,0.0,0.0,0.0,0.0,0.0
4,2024-01-04,2024-01-04 13:00:00,1,January,518.2507442749373,425.6680437766528,92.58270049828457,17.864460692249096,0.0,24.50201587815045,33.927261020900005,13.817636824903303,1.3816455713567484,1.8085,8.0755234375,6.267023437499999,2.4549392923950797,7.584663126789765,0.9997435138082803,13.816455360830433,0.0,0.0,0.0,0.0,0.0
5,2024-01-05,2024-01-05 13:00:00,1,January,489.903264975625,420.383035347748,69.52022962787703,14.190603451343806,0.0,16.8186231,23.6232378,10.270350097672537,1.3814759374093768,1.8370088125000001,8.0755234375,6.238514624999999,1.709351505065123,9.294014631854889,0.9996207668436605,13.81475899777939,0.0,0.0,0.0,0.0,0.0
6,2024-01-06,2024-01-06 13:00:00,1,January,283.2326521275,254.28069153131074,28.951960596189252,10.221971364783267,-4.874082657034467e-11,13.086547368421051,23.622340096400002,13.814758990040955,1.3813578358893865,1.7648239374999999,2.3459543125,0.5811303750000001,1.7092865482199713,11.00330118007486,0.9995352992684072,13.813577835889388,0.0,0.0,0.0,0.0,0.0
7,2024-01-07,2024-01-07 13:00:00,1,January,277.9132744710001,245.13934737154264,32.77392709945744,11.792861338430727,0.0,25.55080243174106,34.87032045044719,13.813577835889388,1.3812396718884568,1.7846519500000002,2.5389111812500005,0.7542592312500003,2.523178035488219,13.526479215563079,0.9994498349409963,13.81239671888457,0.0,0.0,0.0,0.0,0.0
8,2024-01-08,2024-01-08 13:00:00,1,January,188.49280617243753,143.09572974979747,45.397076422640055,24.0842488074106,-2.3707235462025613e-11,17.482668685259892,27.5878733170941,13.81239671888457,1.3810653202862044,1.0617063999999998,2.556759925,1.4950535250000003,1.9962281705567366,15.522707386119816,0.9993236760392219,13.810653202862047,0.0,0.0,0.0,0.0,0.0
9,2024-01-09,2024-01-09 13:00:00,1,January,135.85531352462502,91.62270664011193,44.23260688451309,32.55861382005904,0.0,13.0824699,23.61516861559531,13.810653202862047,1.3809273809196192,0.9801809125000001,2.6331380375,1.6529571250000001,1.7087676277565347,17.23147501387635,0.999223864630694,13.809273809196192,0.0,0.0,0.0,0.0,0.0
10,2024-01-10,2024-01-10 13:00:00,1,January,121.144532648125,91.7074284203244,29.43710422780059,24.29916033710185,0.0,14.8985258,18.166031698146227,6.349348424704152,1.3808093050765409,0.9801809125000001,2.7856971625,1.80551625,1.3144740736719411,18.54594908754829,0.9991384262493062,13.808093050765411,0.0,0.0,0.0,0.0,0.0
11,2024-01-11,2024-01-11 13:00:00,1,January,131.032682440125,95.83939426214023,35.19328817798477,26.85840472972553,0.029999999998635486,13.0804908,23.611148783149332,13.808093025602854,1.4092184612338348,1.38438675,2.7856971625,1.4013104125,1.7084767571019777,20.254425844650267,0.9990727025456226,13.807184749180506,0.03,0.0,-0.03,-100.0,0.003779644730092272
12,2024-01-12,2024-01-12 13:00:00,1,January,119.96966251500001,99.8246048769456,20.14505763805441,16.79179320483263,0.02,13.059372392223976,18.663270723938854,8.600744777023309,1.3806004191741346,1.28276525,2.4795625,1.1967972500000001,1.3504537426873267,21.604879587337592,0.9989872787077675,13.806004191741348,0.02,0.0033333333333333335,-0.016666666666666666,-83.33333333333333,0.003427248421989825
13,2024-01-13,2024-01-13 13:00:00,1,January,257.2854610575,237.45948185940293,19.825979198097087,7.705829593560373,0.0,7.68,16.468280317474793,11.419539015951875,1.3805071028205147,1.5527237500000002,2.0170580000000005,0.4643342500000003,1.19162665104738,22.79650623838497,0.9989197560206331,13.80507102820515,0.0,0.01,0.01,0.0,0.0012598815766974242
14,2024-01-14,2024-01-14 13:00:00,1,January,332.733662616,302.48106403734323,30.252598578656773,9.092136437535801,0.0,22.57463346607405,32.167995654938125,13.795571026478191,1.3804247614189276,1.5596089000000002,2.314248075,0.7546391749999999,2.3276407854513836,25.124147023836354,0.9988601746880807,13.804247614189276,0.0,0.01,0.01,0.0,0.0012598815766974242
