Date,EUR_to_SEK_Rate
2024-01-01,11.1545
2024-01-02,11.1545
2024-01-03,11.1915
2024-01-04,11.1905
2024-01-05,11.235
2024-01-06,11.235
2024-01-07,11.235
2024-01-08,11.2095
2024-01-09,11.2115
2024-01-10,11.197
2024-01-11,11.197
2024-01-12,11.26
2024-01-13,11.26
2024-01-14,11.26
2024-01-15,11.278
2024-01-16,11.3215
2024-01-17,11.3925
2024-01-18,11.364
2024-01-19,11.38
2024-01-20,11.38
2024-01-21,11.38
2024-01-22,11.3545
2024-01-23,11.347
2024-01-24,11.3585
2024-01-25,11.35
2024-01-26,11.3203
2024-01-27,11.3203
2024-01-28,11.3203
2024-01-29,11.3562
2024-01-30,11.2971
2024-01-31,11.2682
2024-02-01,11.3354
2024-02-02,11.268
2024-02-03,11.268
2024-02-04,11.268
2024-02-05,11.374
2024-02-06,11.3825
2024-02-07,11.2725
2024-02-08,11.2705
2024-02-09,11.2815
2024-02-10,11.2815
2024-02-11,11.2815
2024-02-12,11.232
2024-02-13,11.251
2024-02-14,11.3127
2024-02-15,11.2575
2024-02-16,11.2655
2024-02-17,11.2655
2024-02-18,11.2655
2024-02-19,11.237
2024-02-20,11.2185
2024-02-21,11.2075
2024-02-22,11.174
2024-02-23,11.1545
2024-02-24,11.1545
2024-02-25,11.1545
2024-02-26,11.1675
2024-02-27,11.1805
2024-02-28,11.192
2024-02-29,11.215
2024-03-01,11.1948
2024-03-02,11.1948
2024-03-03,11.1948
2024-03-04,11.2424
2024-03-05,11.2803
2024-03-06,11.2555
2024-03-07,11.1944
2024-03-08,11.164
2024-03-09,11.164
2024-03-10,11.164
2024-03-11,11.1865
2024-03-12,11.173
2024-03-13,11.193
2024-03-14,11.2245
2024-03-15,11.2674
2024-03-16,11.2674
2024-03-17,11.2674
2024-03-18,11.3178
2024-03-19,11.3465
2024-03-20,11.3595
2024-03-21,11.3645
2024-03-22,11.4025
2024-03-23,11.4025
2024-03-24,11.4025
2024-03-25,11.457
2024-03-26,11.453
2024-03-27,11.506
2024-03-28,11.525
2024-03-29,11.525
2024-03-30,11.525
2024-03-31,11.525
2024-04-01,11.525
2024-04-02,11.5575
2024-04-03,11.575
2024-04-04,11.5105
2024-04-05,11.526
2024-04-06,11.526
2024-04-07,11.526
2024-04-08,11.4675
2024-04-09,11.4555
2024-04-10,11.4345
2024-04-11,11.531
2024-04-12,11.5699
2024-04-13,11.5699
2024-04-14,11.5699
2024-04-15,11.5583
2024-04-16,11.635
2024-04-17,11.6793
2024-04-18,11.637
2024-04-19,11.664
2024-04-20,11.664
2024-04-21,11.664
2024-04-22,11.6015
2024-04-23,11.603
2024-04-24,11.6225
2024-04-25,11.639
2024-04-26,11.7052
2024-04-27,11.7052
2024-04-28,11.7052
2024-04-29,11.685
2024-04-30,11.753
2024-05-01,11.753
2024-05-02,11.682
