datetime,excess_solar_kwh,consumption_kwh,price_sek_per_kwh
2024-01-01 00:00,0.0,3.61,0.31745707
2024-01-01 01:00,0.0,1.77,0.29737897
2024-01-01 02:00,0.0,2.44,0.27306216000000005
2024-01-01 03:00,0.0,2.57,0.267819545
2024-01-01 04:00,0.0,2.98,0.236810035
2024-01-01 05:00,0.0,3.1,0.25231479
2024-01-01 06:00,0.0,2.12,0.27930868000000003
2024-01-01 07:00,0.0,3.07,0.29269408
2024-01-01 08:00,0.0,3.11,0.35928644500000007
2024-01-01 09:00,0.0,3.31,0.46112703000000005
2024-01-01 10:00,0.0,2.26,0.485332295
2024-01-01 11:00,0.0,3.07,0.47986659000000004
2024-01-01 12:00,0.0,3.37,0.49403280499999996
2024-01-01 13:00,0.0,3.59,0.5157840800000001
2024-01-01 14:00,0.0,3.63,0.564529245
2024-01-01 15:00,0.0,3.33,0.6633581150000001
2024-01-01 16:00,0.0,10.27,0.7249309549999999
2024-01-01 17:00,0.0,15.07,0.6886788300000001
2024-01-01 18:00,0.0,13.64,0.6142783150000001
2024-01-01 19:00,0.0,13.25,0.535527545
2024-01-01 20:00,0.0,6.55,0.490909545
2024-01-01 21:00,0.0,2.34,0.5041834000000001
2024-01-01 22:00,0.0,2.95,0.423871
2024-01-01 23:00,0.0,3.06,0.423871
2024-01-02 00:00,0.0,2.73,0.37434502000000003
2024-01-02 01:00,0.0,2.35,0.35727863500000007
2024-01-02 02:00,0.0,3.07,0.360178805
2024-01-02 03:00,0.0,3.11,0.40937015000000004
2024-01-02 04:00,0.0,3.05,0.46536574
2024-01-02 05:00,0.0,3.12,0.54857831
2024-01-02 06:00,0.0,3.14,0.655326875
2024-01-02 07:00,0.0,3.42,0.7325160150000001
2024-01-02 08:00,0.0,3.86,0.7374239950000001
2024-01-02 09:00,0.0,3.52,0.76943741
2024-01-02 10:00,0.0,3.89,0.8203019300000002
2024-01-02 11:00,0.0,3.29,0.87183572
2024-01-02 12:00,0.0,3.26,0.8797554150000001
